RefId,Weight(50/50)
73015,0.077144862
73016,0.093389762
73017,0.033492306
73018,0.397343405
73019,0.587984221
73020,0.04371078
73021,0.03137466
73022,0.320073239
73023,0.112007337
73024,0.281276911
73025,0.078540112
73026,0.845077265
73027,0.236906596
73028,0.055832624
73029,0.071418723
73030,0.029995315
73031,0.148895466
73032,0.113173269
73033,0.038840602
73034,0.039611264
73035,0.041636767
73036,0.283119723
73037,0.419185691
73038,0.126673524
73039,0.281494967
73040,0.148011169
73041,0.80920338
73042,0.165643083
73043,0.267684599
73044,0.065001031
73045,0.201160092
73046,0.195194861
73047,0.374433819
73048,0.394983389
73049,0.266373579
73050,0.021162341
73051,0.256154736
73052,0.842063668
73053,0.760523001
73054,0.074003622
73055,0.454717054
73056,0.133546695
73057,0.336218749
73058,0.293792214
73059,0.02493319
73060,0.264510649
73061,0.169548833
73062,0.136428271
73063,0.068879859
73064,0.019059593
73065,0.223876775
73066,0.024030009
73067,0.153221149
73068,0.181950926
73069,0.053479683
73070,0.026866078
73071,0.260569254
73072,0.286332064
73073,0.319012653
73074,0.060782864
73075,0.266078391
73076,0.194112709
73077,0.031308162
73078,0.384603491
73079,0.348729398
73080,0.16849352
73081,0.243373508
73082,0.245709823
73083,0.07644814
73084,0.16685802
73085,0.035579219
73086,0.52338566
73087,0.229221411
73088,0.08109063
73089,0.416883997
73090,0.410109789
73091,0.226335125
73092,0.034242066
73093,0.200946152
73094,0.303580419
73095,0.436426818
73096,0.328251761
73097,0.194272201
73098,0.039437514
73099,0.166999245
73100,0.023412863
73101,0.398645869
73102,0.260844726
73103,0.138372932
73104,0.812436268
73105,0.511399331
73106,0.264474577
73107,0.478798834
73108,0.157980776
73109,0.353120083
73110,0.270542054
73111,0.302926688
73112,0.351242575
73113,0.318098431
73114,0.272219547
73115,0.139271744
73116,0.288506936
73117,0.362326477
73118,0.30278066
73119,0.811818876
73120,0.80950375
73121,0.258726799
73122,0.229733436
73123,0.242132877
73124,0.417531654
73125,0.025036614
73126,0.418105803
73127,0.438784899
73128,0.410756601
73129,0.230831527
73130,0.182491159
73131,0.173560426
73132,0.334053433
73133,0.027873397
73134,0.371361958
73135,0.110628024
73136,0.261579041
73137,0.845770112
73138,0.263399466
73139,0.22281286
73140,0.874794744
73141,0.073856896
73142,0.416675046
73143,0.361815198
73144,0.086108067
73145,0.322037745
73146,0.420412777
73147,0.140409809
73148,0.041295457
73149,0.308188742
73150,0.179571798
73151,0.515986457
73152,0.027096326
73153,0.3605847
73154,0.413139772
73155,0.257735455
73156,0.264012885
73157,0.311723188
73158,0.155671338
73159,0.1108185
73160,0.778337715
73161,0.294589947
73162,0.845736614
73163,0.177011137
73164,0.336360203
73165,0.466690811
73166,0.351375917
73167,0.142686301
73168,0.06246155
73169,0.517954897
73170,0.030932124
73171,0.365434867
73172,0.349818605
73173,0.106888238
73174,0.032699753
73175,0.276116188
73176,0.366334927
73177,0.294504468
73178,0.405654955
73179,0.028930608
73180,0.064242216
73181,0.355312954
73182,0.266061652
73183,0.511920287
73184,0.049590959
73185,0.519144864
73186,0.310716138
73187,0.316751227
73188,0.215987201
73189,0.106766748
73190,0.356771088
73191,0.845320935
73192,0.845607057
73193,0.181718285
73194,0.446670709
73195,0.192012499
73196,0.311796629
73197,0.811204704
73198,0.046348109
73199,0.21415023
73200,0.400192875
73201,0.41351798
73202,0.812061139
73203,0.306307707
73204,0.2976836
73205,0.309205891
73206,0.307280609
73207,0.141948464
73208,0.275359256
73209,0.288496993
73210,0.191177684
73211,0.269091089
73212,0.211279499
73213,0.312486403
73214,0.327825883
73215,0.455577566
73216,0.177073187
73217,0.409841789
73218,0.299853658
73219,0.419956353
73220,0.308772451
73221,0.353129145
73222,0.294265412
73223,0.174102548
73224,0.063542633
73225,0.367952056
73226,0.239816422
73227,0.273534355
73228,0.407563517
73229,0.220806569
73230,0.169553134
73231,0.408194249
73232,0.896828908
73233,0.845144046
73234,0.311843791
73235,0.341693137
